"ncbi_gene_id","ensembl_gene_id"
"MTCH1","ENSTGUG00000000939"
"RCC1","ENSTGUG00000000940"
"CDX1","ENSTGUG00000000941"
"PDGFRB","ENSTGUG00000000942"
"PHACTR4","ENSTGUG00000000943"
"FGD2","ENSTGUG00000000944"
"SESN2","ENSTGUG00000000945"
"FBN3","ENSTGUG00000000946"
"NRP1","ENSTGUG00000000947"
"LOC115491120","ENSTGUG00000000949"
"FAM76A","ENSTGUG00000000951"
"NUDT12","ENSTGUG00000000953"
"PIM1","ENSTGUG00000000954"
"LOC100218918","ENSTGUG00000000955"
"FGR","ENSTGUG00000000957"
"NGF","ENSTGUG00000000958"
"FBXL17","ENSTGUG00000000961"
"FER","ENSTGUG00000000963"
"LOC100227863","ENSTGUG00000000964"
"CSF1R","ENSTGUG00000000965"
"WASF2","ENSTGUG00000000966"
"SIKE1","ENSTGUG00000000967"
"ITGB1","ENSTGUG00000000968"
"GPR3","ENSTGUG00000000969"
"PJA2","ENSTGUG00000000970"
"CSDE1","ENSTGUG00000000972"
"WDTC1","ENSTGUG00000000973"
"MAN2A1","ENSTGUG00000000974"
"HMGXB3","ENSTGUG00000000975"
"SLC9A1","ENSTGUG00000000976"
"TENT5B","ENSTGUG00000000977"
"KDF1","ENSTGUG00000000978"
"NUDC","ENSTGUG00000000980"
"ANKRD24","ENSTGUG00000000981"
"LOC100222632","ENSTGUG00000000982"
"FLT4","ENSTGUG00000000983"
"NR0B2","ENSTGUG00000000984"
"GPATCH3","ENSTGUG00000000986"
"SIRT6","ENSTGUG00000000987"
"NRAS","ENSTGUG00000000988"
